word,value,group
œil,73,seeing
cœur,52,love
empereur,32,empire
amour,32,love
empire,30,empire
main,28,empire
cour,28,empire
mère,26,family
soin,25,love
fils,23,family
vertu,22,misc
Madame,22,misc
temps,20,time
nom,19,family
lieu,19,place
ciel,19,faith
regard,18,seeing
malheur,18,misc
gloire,18,empire
frère,17,family
crime,17,misc
coup,17,misc
sang,16,family
douleur,16,misc
discours,16,speech
dessein,16,misc
moment,15,time
maître,15,empire
dieu,15,faith
prince,14,empire
secret,13,misc
père,13,family
pleur,13,seeing
plaisir,13,love
palais,13,place
honneur,13,misc
foi,13,faith
ennemi,13,misc
courroux,13,misc
bonté,13,empire
vœu,12,misc
voix,12,speech
vie,12,misc
soupçon,12,misc
mort,12,misc
fois,12,time
âme,11,faith
sœur,11,family
bonheur,11,misc
rang,10,empire
pouvoir,10,empire
peuple,10,empire
peine,10,misc
ordre,10,empire
choix,10,misc
