Tense,Albine,Agrippine,Burrhus,Britannicus,Narcisse,Néron,Junie
VER:pres,1.16735,0.894671,0.968899,1.08526,0.889162,1.09223,1.03862
VER:impf,0.260563,1.20191,0.84761,1.12257,0.966899,0.798151,1.38435
VER:infi,0.822571,0.830779,1.23126,1.06315,1.05138,0.967376,1.07601
VER:ppre,2.23725,1.55135,0.949272,0.514061,0.922444,0.489506,0.900481
VER:futu,0.175827,1.04959,1.2434,0.727208,1.5659,1.00024,0.679387
VER:pper,1.23854,1.12021,0.889333,0.968676,1.10775,0.89635,0.920315
VER:subp,0.584507,0.951592,0.826693,0.604369,0.867596,1.91834,0.282313
VER:subi,1.80223,1.14103,2.03918,0.310578,0.891696,0.591487,0.435232
VER:simp,0.569125,2.72818,0.482963,0.294232,0.70397,0.249047,0.412325
VER:cond,0.379417,0.960867,0.536625,0.915389,1.87725,0.996188,1.46605
