word,value,group
savoir,44,verb
dire,43,verb
croire,39,verb
devoir,36,verb
venir,30,verb
falloir,29,verb
oser,28,verb
laisser,28,verb
aimer,28,verb
craindre,27,verb
entendre,23,verb
attendre,21,verb
octavier,19,verb
donner,19,verb
rendre,18,verb
prendre,18,verb
arrêter,17,verb
suivre,15,verb
instruire,15,verb
ignorer,15,verb
prétendre,14,verb
plaindre,14,verb
obéir,14,verb
mettre,14,verb
cacher,14,verb
porter,13,verb
parler,13,verb
répondre,12,verb
plaire,12,verb
mourir,12,verb
chercher,12,verb
assurer,12,verb
écouter,11,verb
perdre,11,verb
nommer,11,verb
fuir,11,verb
exciter,11,verb
connaître,11,verb
conduire,11,verb
souffrir,10,verb
passer,10,verb
flatter,10,verb
courir,10,verb
commencer,10,verb
choisir,10,verb
